route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
S3,200891414889597,14889597,,900852,0,,
S50,200843514889357,14889357,,25591,0,,
S10,200938214889820,14889820,,25163,0,,
R8,200798214886508,14886508,,10806,0,,
S9,200822514886645,14886645,,931472,0,,
R28,200989114890088,14890088,,2944,0,,
S3,200891614889598,14889598,,900868,0,,
R2,200905214889660,14889660,,22608,0,,
S1,200924314887287,14887287,,24134,0,,
R4,200906514889665,14889665,,10928,0,,
R38,200949214889875,14889875,,10868,0,,
S2,200945314902195,14902195,,24248,0,,
S13,200807714889181,14889181,,24324,0,,
R22,200812014886575,14886575,,901011,0,,
S5,201102014890681,14890681,,24530,0,,
R34,201170914888824,14888824,,10477,0,,
S1,200810114889193,14889193,,24014,0,,
S7,201093514890636,14890636,,24744,0,,
R37,201154614890939,14890939,,10782,0,,
R16,201135614890844,14890844,,900685,0,,
R7,201027714890301,14890301,,10740,0,,
R17,201018414890254,14890254,,900117,0,,
RE8,201091514890696,14890696,,2833,0,,
XP1,201036014890346,14890346,,900351,0,,
R28,200935014889797,14889797,,910348,0,,
S9,200963914887539,14887539,,24946,0,,
R12,201172314891023,14891023,,10296,0,,
RE5,200817514889222,14889222,,2541,0,,
RE8,201159114888754,14888754,,2876,0,,
RE3,200977314887631,14887631,,909901,0,,
S8,200909814887194,14887194,,24816,0,,
RE80,200805314889160,14889160,,25529,0,,
R11,200965514887547,14887547,,10156,0,,
RE13,201041614890390,14890390,,2349,0,,
R35,201007814890196,14890196,,10575,0,,
S5,201104614890703,14890703,,24510,0,,
RE1,201035714890343,14890343,,900067,0,,
R16,200933114889781,14889781,,900625,0,,
S13,200999914890129,14890129,,24321,0,,
XP1,200918614889720,14889720,,900372,0,,
S1,200828414886686,14886686,,24126,0,,
R18,200856214886854,14886854,,10434,0,,
R38,200948614889876,14889876,,10874,0,,
S5,200899514887117,14887117,,24516,0,,
XP2,201139314890872,14890872,,2955,0,,
S3,201119514890768,14890768,,900884,0,,
R13,201076314888244,14888244,,10309,0,,
R14,200943014889874,14889874,,25871,0,,
R6,200884114889554,14889554,,10626,0,,
R21,200990614890102,14890102,,25346,0,,
S3,201083714890579,14890579,,900829,0,,
R17,201068414890507,14890507,,900179,0,,
R25,201088614888323,14888323,,11279,0,,
S4,200935714889801,14889801,,900733,0,,
R28,201034614890335,14890335,,910371,0,,
S30,200877914889513,14889513,,25339,0,,
S8,201092914890737,14890737,,24814,0,,
R16,201171014888825,14888825,,901654,0,,
XP2,200842914889351,14889351,,2938,0,,
R1,201072414888217,14888217,,10107,0,,
R2,201190414891122,14891122,,22646,0,,
S9,201162814888776,14888776,,24943,0,,
S9,200910814889681,14889681,,24903,0,,
R1,201089814890625,14890625,,10132,0,,
R11,201172214891022,14891022,,10162,0,,
S7,201142814890915,14890915,,24756,0,,
RE5,201072514885482,14885482,,2566,0,,
S5,200857614886861,14886861,,24540,0,,
S6,201142914902713,14902713,,24681,0,,
R22,201065614885419,14885419,,912021,0,,
R2,200881514889541,14889541,,22622,0,,
R17,201067114890498,14890498,,900176,0,,
S10,200990714890103,14890103,,25186,0,,
R1,200881814889544,14889544,,10140,0,,
RE5,200817914889224,14889224,,2532,0,,
S1,201025614890292,14890292,,24161,0,,
RE13,201093114888360,14888360,,2335,0,,
R4,200900114889620,14889620,,10939,0,,
R4,200852214889378,14889378,,10933,0,,
R2,201189814891118,14891118,,22650,0,,
R34,201108014890723,14890723,,10474,0,,
R13,200827514889272,14889272,,10331,0,,
S8,200909514887195,14887195,,24846,0,,
S11,200851314889371,14889371,,25065,0,,
R36,201054914890451,14890451,,10687,0,,
R34,200860814889443,14889443,,10466,0,,
RE2,200976514890017,14890017,,2226,0,,
S3,200889714889584,14889584,,900862,0,,
R28,201183414891077,14891077,,910375,0,,
RE5,201023414890281,14890281,,2516,0,,
R35,200974714887614,14887614,,10581,0,,
XP1,200892714889605,14889605,,900328,0,,
R8,201150114888696,14888696,,10804,0,,
R37,200859014889437,14889437,,10758,0,,
S1,200829214886690,14886690,,24139,0,,
S8,200814314886587,14886587,,24866,0,,
R3,200875014889495,14889495,,900918,0,,
XP2,201033414890322,14890322,,910355,0,,
S11,200854414889410,14889410,,25075,0,,
S4,200914714884380,14884380,,902716,0,,
S1,200976014887623,14887623,,24118,0,,
R35,201105514890709,14890709,,10566,0,,
S11,200806914889171,14889171,,25051,0,,
S3,201033714890333,14890333,,900861,0,,
S4,201085214890592,14890592,,900769,0,,
R23,201148414890891,14890891,,10246,0,,
S1,200923314889744,14889744,,24153,0,,
S11,200953414889910,14889910,,25081,0,,
S1,200900714889627,14889627,,24028,0,,
R35,201105814890712,14890712,,10574,0,,
RE2,200913614889692,14889692,,2244,0,,
S3,200986014890068,14890068,,900869,0,,
S9,201018214890252,14890252,,934453,0,,
R1,201140814890879,14890879,,10135,0,,
R21,200804514889148,14889148,,25347,0,,
S40,201027814887942,14887942,,25478,0,,
R2,200992914884927,14884927,,22635,0,,
S6,201093614902686,14902686,,24674,0,,
S11,201006714890186,14890186,,25062,0,,
RE4,201139714890875,14890875,,2442,0,,
R6,200812714889206,14889206,,10623,0,,
S11,200999714890127,14890127,,25077,0,,
R31,200808614889186,14889186,,10068,0,,
R36,200866214886927,14886927,,10691,0,,
XP1,200838114889315,14889315,,900383,0,,
R14,201093714890670,14890670,,25858,0,,
XP1,201181114891057,14891057,,900391,0,,
R11,201113914888474,14888474,,10164,0,,
S9,201012714887846,14887846,,24970,0,,
RE6,201090114890628,14890628,,2629,0,,
RE5,200817314889220,14889220,,2556,0,,
R22,200984214890049,14890049,,900029,0,,
S7,200961714887529,14887529,,24754,0,,
R28,200841914889343,14889343,,2917,0,,
R40,200924414887288,14887288,,10009,0,,
S9,201069214888192,14888192,,931449,0,,
R3,201117014888496,14888496,,901919,0,,
R2,200941414884587,14884587,,22634,0,,
S5,200900314887133,14887133,,24518,0,,
S3,200861714889446,14889446,,900856,0,,
RE11,200867514889470,14889470,,2186,0,,
R41,200864414886913,14886913,,10979,0,,
RE80,200805114883629,14883629,,25201,0,,
S6,200845314902768,14902768,,24706,0,,
S9,201162314890978,14890978,,24920,0,,
R22,200935914889803,14889803,,900041,0,,
R25,201186914888921,14888921,,11256,0,,
R14,201094814890676,14890676,,25863,0,,
R13,201059914890469,14890469,,10322,0,,
S9,200893114887109,14887109,,931460,0,,
RE8,200797514889169,14889169,,2826,0,,
R5,201156614888743,14888743,,10530,0,,
R11,200914414887225,14887225,,10171,0,,
S3,200820814889241,14889241,,900832,0,,
S13,200955614889928,14889928,,24347,0,,
S8,200893714889677,14889677,,24876,0,,
XP1,201166214890996,14890996,,900358,0,,
S13,201000214890132,14890132,,24342,0,,
S4,200921114887271,14887271,,901709,0,,
S9,201120614888525,14888525,,931477,0,,
R2,200810914889197,14889197,,22671,0,,
S10,201187414891104,14891104,,25166,0,,
S13,200947914889862,14889862,,24358,0,,
R38,200815314889214,14889214,,10886,0,,
S5,201052414888088,14888088,,24517,0,,
R28,201187914891109,14891109,,2923,0,,
S2,200849714902272,14902272,,24255,0,,
S9,201014514887856,14887856,,24954,0,,
RE1,201009614890203,14890203,,900047,0,,
RE5,200817414889221,14889221,,2557,0,,
S4,200875214889497,14889497,,900719,0,,
R17,201169414891013,14891013,,900169,0,,
R40,200947514889860,14889860,,10008,0,,
S9,200920314887266,14887266,,931433,0,,
R3,200918114887249,14887249,,901913,0,,
S6,200894114902646,14902646,,24660,0,,
S40,200927414887306,14887306,,25414,0,,
S13,201102914890689,14890689,,24313,0,,
R13,200960714889952,14889952,,10319,0,,
S8,200894214889679,14889679,,24828,0,,
R8,201049514888065,14888065,,10840,0,,
R8,201101314888391,14888391,,10837,0,,
R18,201121114888530,14888530,,10433,0,,
S40,201127414888570,14888570,,25430,0,,
R36,201055614888116,14888116,,10690,0,,
R1,201141014890882,14890882,,10137,0,,
RE80,200851914889377,14889377,,25514,0,,
RE8,201094214890726,14890726,,2874,0,,
R8,200950314887453,14887453,,10816,0,,
R36,201088214890613,14890613,,10663,0,,
RE11,201174214891030,14891030,,2161,0,,
R3,201157614888745,14888745,,901915,0,,
S11,201153614890935,14890935,,25079,0,,
S1,201024314890286,14890286,,24111,0,,
S6,201145314902577,14902577,,24645,0,,
R5,200858414886870,14886870,,10535,0,,
R2,200904814887176,14887176,,22669,0,,
S11,200952814884643,14884643,,25233,0,,
S2,201144914902206,14902206,,24249,0,,
S2,200848314902085,14902085,,24238,0,,
XP2,201038714890366,14890366,,2963,0,,
R37,200957014889935,14889935,,10776,0,,
S11,201150514886027,14886027,,25257,0,,
S9,200886814889568,14889568,,24944,0,,
XP1,200936114889807,14889807,,900331,0,,
RE11,200926414889755,14889755,,2174,0,,
R36,201185814888911,14888911,,10660,0,,
R6,200884314889556,14889556,,10620,0,,
RE4,201089714890624,14890624,,2427,0,,
XP1,201034014890326,14890326,,900321,0,,
S8,201062214888146,14888146,,24859,0,,
R28,201036114890347,14890347,,910395,0,,
S11,201098314890645,14890645,,25029,0,,
R34,200973314887608,14887608,,10469,0,,
R5,200957814887507,14887507,,10538,0,,
S9,200887214889569,14889569,,24984,0,,
R28,201133314890827,14890827,,910370,0,,
S9,200962914887534,14887534,,24939,0,,
S10,201187114891102,14891102,,25171,0,,
S11,201104814885707,14885707,,25241,0,,
S7,200796314889132,14889132,,24729,0,,
XP2,200879714889527,14889527,,2967,0,,
RE13,200898614884259,14884259,,3005,0,,
R21,201087514890606,14890606,,25342,0,,
XP1,200838914889322,14889322,,900361,0,,
S13,200902114889641,14889641,,24344,0,,
RE5,200965814889966,14889966,,2576,0,,
S8,200995114890221,14890221,,24841,0,,
R3,201120214885826,14885826,,912953,0,,
R17,201120514888524,14888524,,901126,0,,
RE2,201139414885964,14885964,,2221,0,,
R17,201120014890771,14890771,,900170,0,,
R28,200933914889789,14889789,,910327,0,,
XP1,200880914889536,14889536,,900385,0,,
RE80,201053114890436,14890436,,25531,0,,
S7,200796414889854,14889854,,24733,0,,
RE80,201148314890890,14890890,,25516,0,,
R17,200819514889233,14889233,,900187,0,,
R34,200883314887045,14887045,,10457,0,,
RE1,201158614890958,14890958,,900030,0,,
S1,201050614890425,14890425,,24016,0,,
