route_id,trip_short_name
R31,10095
R31,10045
R31,10032
R31,10021
R31,10058
R31,10026
R31,10061
R31,10052
R31,10068
R31,10080
R31,10074
R31,10084
R31,10027
R31,10037
R31,10077
R31,10029
R31,10066
R31,10041
R31,10023
R31,10040
R31,10067
R31,10044
R31,10081
R31,10075
R31,10071
R31,10089
R31,10019
R31,10073
R31,10063
R31,10057
R31,10036
R31,10018
R31,10094
R31,10096
R31,10016
R31,10098
R31,10020
R31,10033
R31,10043
R31,10030
R31,10064
R31,10056
R31,10072
R31,10024
R31,10049
R31,10047
R31,10069
R31,10048
R31,10065
R31,10076
R31,10053
R31,10022
R31,10062
R31,10025
R31,10028
R31,10085
R31,10070
R31,10046
R31,10060
