route_id,trip_short_name
R28,2949
R28,910349
R28,2913
R28,910315
R28,2952
R28,2919
R28,2956
R28,2970
R28,2941
R28,2964
R28,910365
R28,2968
R28,910384
R28,2984
R28,910312
R28,2973
R28,2962
R28,2966
R28,910331
R28,910332
R28,2944
R28,910348
R28,910371
R28,910375
R28,2917
R28,2923
R28,910395
R28,910370
R28,910327
R28,910345
R28,910380
R28,910321
R28,2985
R28,2916
R28,2974
R28,910391
R28,910336
R28,2928
R28,910381
R28,910366
R28,910383
R28,910318
R28,910377
R28,2945
R28,910353
R28,2924
R28,910387
R28,2972
R28,2965
R28,2961
R28,910326
R28,2981
R28,2977
R28,2960
R28,910310
R28,2976
R28,2980
R28,2948
R28,2921
R28,2988
R28,910314
R28,910307
R28,910340
R28,910388
R28,910356
R28,910335
R28,2937
R28,2929
R28,910369
R28,2936
R28,2932
R28,910316
R28,910311
R28,910376
R28,910322
R28,910324
R28,910344
R28,910339
R28,910360
R28,2953
R28,2969
R28,910357
R28,2927
R28,2925
R28,2920
R28,2933
R28,910352
R28,910361
R28,2940
R28,2957
