route_id,trip_short_name
S6,24641
S6,24646
S6,24640
S6,24667
S6,24709
S6,24702
S6,24620
S6,24636
S6,24634
S6,24630
S6,24681
S6,24674
S6,24706
S6,24660
S6,24645
S6,24616
S6,24665
S6,24676
S6,24657
S6,24678
S6,24677
S6,24644
S6,24663
S6,24648
S6,24655
S6,24653
S6,24675
S6,24664
S6,24685
S6,24614
S6,24624
S6,24647
S6,24618
S6,24621
S6,24643
S6,24661
S6,24623
S6,24627
S6,24652
S6,24617
S6,24668
S6,24638
S6,24615
S6,24662
S6,24629
S6,24682
S6,24707
S6,24625
S6,24671
S6,24658
S6,24703
S6,24672
S6,24651
S6,24656
S6,24708
S6,24613
S6,24673
S6,24666
S6,24622
S6,24650
S6,24670
S6,24680
S6,24659
S6,24654
S6,24705
S6,24669
S6,24631
S6,24649
S6,24642
S6,24619
