route_id,trip_short_name
R16,900637
R16,900676
R16,900681
R16,900644
R16,901645
R16,900621
R16,901641
R16,900669
R16,900631
R16,900685
R16,900625
R16,901654
R16,901617
R16,911689
R16,900668
R16,901615
R16,900636
R16,901673
R16,900643
R16,901670
R16,900624
R16,902679
R16,900648
R16,900651
R16,900612
R16,901613
R16,900663
R16,900618
R16,901614
R16,900652
R16,900678
R16,901659
R16,900656
R16,901646
R16,900628
R16,900666
R16,901650
R16,901665
R16,900632
R16,901622
R16,900680
R16,900640
R16,900677
R16,900635
R16,902683
R16,900657
R16,900647
R16,901626
R16,900660
