route_id,trip_short_name
RE2,2201
RE2,2235
RE2,2247
RE2,2214
RE2,2204
RE2,2224
RE2,2215
RE2,2278
RE2,2248
RE2,2256
RE2,2223
RE2,2277
RE2,2243
RE2,2218
RE2,2212
RE2,2226
RE2,2244
RE2,2221
RE2,2233
RE2,2230
RE2,2255
RE2,2241
RE2,2280
RE2,2273
RE2,2279
RE2,2242
RE2,2220
RE2,2231
RE2,2225
RE2,2234
RE2,2240
RE2,2238
RE2,2206
RE2,2227
RE2,2228
RE2,2258
RE2,2229
RE2,2246
RE2,2253
RE2,2237
RE2,2236
RE2,2239
RE2,2298
RE2,2211
RE2,2271
RE2,2217
RE2,2222
RE2,2245
RE2,2257
RE2,2262
RE2,2202
RE2,2203
RE2,2219
RE2,2232
RE2,2213
RE2,2216
RE2,2275
RE2,2276
RE2,2260
