route_id,trip_short_name
XP1,900362
XP1,900332
XP1,900315
XP1,900326
XP1,900347
XP1,900389
XP1,900394
XP1,900351
XP1,900372
XP1,900328
XP1,900383
XP1,900391
XP1,900358
XP1,900331
XP1,900321
XP1,900361
XP1,900385
XP1,900352
XP1,900387
XP1,900356
XP1,900386
XP1,900342
XP1,900366
XP1,900324
XP1,900338
XP1,900325
XP1,900380
XP1,900348
XP1,900357
XP1,900327
XP1,900309
XP1,900305
XP1,900337
XP1,900311
XP1,900334
XP1,900353
XP1,900350
XP1,900388
XP1,900318
XP1,900371
XP1,900329
XP1,900393
XP1,900339
XP1,900355
XP1,900316
XP1,900307
XP1,900336
XP1,900312
XP1,900374
XP1,900392
XP1,900354
XP1,900349
XP1,900395
XP1,900345
XP1,900367
XP1,900333
XP1,900330
XP1,900314
XP1,900365
XP1,900382
XP1,900375
XP1,900335
XP1,900390
XP1,900346
XP1,900343
XP1,900344
XP1,900360
XP1,900384
XP1,900379
XP1,900368
XP1,900313
XP1,900378
XP1,900319
XP1,900377
XP1,900340
XP1,900304
