route_id,trip_short_name
S13,24338
S13,24327
S13,24365
S13,24343
S13,24370
S13,24372
S13,24332
S13,24354
S13,24326
S13,24320
S13,24340
S13,24322
S13,24363
S13,24379
S13,24380
S13,24376
S13,24341
S13,24348
S13,24369
S13,24364
S13,24334
S13,24324
S13,24321
S13,24347
S13,24342
S13,24358
S13,24313
S13,24344
S13,24345
S13,24362
S13,24323
S13,24375
S13,24315
S13,24356
S13,24357
S13,24316
S13,24317
S13,24368
S13,24396
S13,24352
S13,24359
S13,24374
S13,24393
S13,24339
S13,24351
S13,24353
S13,24337
S13,24382
S13,24355
S13,24329
S13,24330
S13,24314
S13,24331
S13,24335
S13,24318
S13,24319
S13,24383
S13,24325
S13,24336
S13,24367
S13,24311
S13,24392
S13,24360
S13,24350
S13,24349
S13,24366
S13,24389
S13,24371
S13,24361
S13,24328
S13,24346
S13,24378
S13,24373
S13,24333
