route_id,trip_short_name
S3,900844
S3,900877
S3,900830
S3,900849
S3,900824
S3,900858
S3,900865
S3,900874
S3,900815
S3,900840
S3,900825
S3,900823
S3,900821
S3,900848
S3,900847
S3,900887
S3,900852
S3,900868
S3,900884
S3,900829
S3,900862
S3,900861
S3,900869
S3,900856
S3,900832
S3,900895
S3,900888
S3,900811
S3,900866
S3,900876
S3,900854
S3,900835
S3,900838
S3,900893
S3,900850
S3,900880
S3,900839
S3,900882
S3,900889
S3,900833
S3,900871
S3,900872
S3,900851
S3,900841
S3,900859
S3,900813
S3,900842
S3,900812
S3,900875
S3,900857
S3,900814
S3,900855
S3,900822
S3,900837
S3,900881
S3,900885
S3,900846
S3,900878
S3,900827
S3,900845
S3,900817
S3,900826
S3,900831
S3,900883
S3,900834
S3,900836
S3,900886
S3,900818
S3,900806
S3,900828
