route_id,trip_short_name
XP2,910333
XP2,2975
XP2,910343
XP2,910358
XP2,2954
XP2,2979
XP2,910368
XP2,910382
XP2,2931
XP2,2959
XP2,910309
XP2,2955
XP2,2938
XP2,910355
XP2,2963
XP2,2967
XP2,910378
XP2,910362
XP2,910330
XP2,2971
XP2,910313
XP2,910346
XP2,2935
XP2,2946
XP2,2951
XP2,910334
XP2,910350
XP2,910319
XP2,2943
XP2,2950
XP2,910329
XP2,910351
XP2,2926
XP2,910342
XP2,2918
XP2,2930
XP2,2934
XP2,910337
XP2,910338
XP2,2942
XP2,910347
XP2,2958
XP2,910325
XP2,2922
XP2,910374
XP2,2939
XP2,2947
XP2,910354
