route_id,trip_short_name
R22,902030
R22,900031
R22,900078
R22,914014
R22,911012
R22,900054
R22,900066
R22,912057
R22,912047
R22,912068
R22,910032
R22,901011
R22,912021
R22,900029
R22,900041
R22,901039
R22,900082
R22,911081
R22,900013
R22,910036
R22,900040
R22,912063
R22,912018
R22,901054
R22,911043
R22,912079
R22,902014
R22,900035
R22,911078
R22,901037
R22,910073
R22,901048
R22,910023
R22,910010
R22,910090
R22,910059
R22,902075
R22,900049
R22,900084
R22,910045
R22,900052
R22,912074
R22,910089
R22,910015
R22,912082
R22,910060
R22,900055
R22,910072
R22,900083
R22,910065
R22,910028
R22,900044
R22,910022
R22,910017
R22,912026
R22,900036
R22,910091
R22,912085
R22,911044
R22,912062
R22,911069
R22,900046
R22,911054
