route_id,trip_short_name
S5,24545
S5,24524
S5,24585
S5,24552
S5,24531
S5,24551
S5,24576
S5,24538
S5,24543
S5,24581
S5,24537
S5,24570
S5,24511
S5,24532
S5,24595
S5,24564
S5,24530
S5,24510
S5,24516
S5,24540
S5,24518
S5,24517
S5,24522
S5,24575
S5,24574
S5,24566
S5,24553
S5,24539
S5,24519
S5,24514
S5,24536
S5,24521
S5,24525
S5,24528
S5,24568
S5,24559
S5,24580
S5,24569
S5,24573
S5,24578
S5,24544
S5,24533
S5,24527
S5,24534
S5,24554
S5,24572
S5,24567
S5,24577
S5,24515
S5,24565
S5,24550
S5,24529
S5,24548
S5,24547
S5,24556
S5,24571
S5,24557
S5,24523
S5,24563
S5,24541
S5,24562
S5,24546
S5,24526
S5,24555
S5,24560
S5,24561
S5,24535
S5,24520
S5,24542
S5,24513
S5,24549
S5,24558
S5,24512
